Ring,TripID,Sex,Year,DateTime,Longitude,Latitude,STATE
27,201204.1,F,2012,22/02/2012 08:44,795268.1334,-119296.978,2
27,201204.1,F,2012,22/02/2012 08:59,810130.7883,-117990.5274,2
27,201204.1,F,2012,22/02/2012 09:14,819333.7543,-117158.1875,2
27,201204.1,F,2012,22/02/2012 09:29,820897.914,-116651.5179,3
27,201204.1,F,2012,22/02/2012 09:44,821124.3958,-116708.6005,3
27,201204.1,F,2012,22/02/2012 09:59,821329.4793,-116810.5002,3
27,201204.1,F,2012,22/02/2012 10:14,821541.1812,-116900.9557,3
27,201204.1,F,2012,22/02/2012 10:29,821735.7605,-116987.0902,3
27,201204.1,F,2012,22/02/2012 10:44,821957.4202,-117096.5645,3
27,201204.1,F,2012,22/02/2012 10:59,822208.0821,-117211.4906,3
27,201204.1,F,2012,22/02/2012 11:14,822440.5667,-117347.2789,3
27,201204.1,F,2012,22/02/2012 11:29,822664.7186,-117504.9981,3
27,201204.1,F,2012,22/02/2012 11:44,822925.441,-117655.5418,3
27,201204.1,F,2012,22/02/2012 11:59,823198.9118,-117783.1561,3
27,201204.1,F,2012,22/02/2012 12:14,823455.6434,-117889.938,3
27,201204.1,F,2012,22/02/2012 12:29,823690.9856,-118024.672,3
27,201204.1,F,2012,22/02/2012 12:44,823937.7568,-118150.8303,3
27,201204.1,F,2012,22/02/2012 12:59,824488.9055,-118214.5264,1
27,201204.1,F,2012,22/02/2012 13:14,827954.2465,-117486.6088,1
27,201204.1,F,2012,22/02/2012 13:29,841127.0072,-114585.3294,1
27,201204.1,F,2012,22/02/2012 13:44,854699.1293,-111303.6446,1
27,201204.1,F,2012,22/02/2012 13:59,869534.4493,-108972.1292,1
27,201204.1,F,2012,22/02/2012 14:14,884166.729,-106057.5155,1
27,201204.1,F,2012,22/02/2012 14:29,898656.6984,-103648.7641,1
27,201204.1,F,2012,22/02/2012 14:44,912501.5547,-101196.8565,1
27,201204.1,F,2012,22/02/2012 14:59,921997.5062,-98641.69661,1
27,201204.1,F,2012,22/02/2012 15:14,926384.1994,-96430.13486,3
27,201204.1,F,2012,22/02/2012 15:29,926511.4785,-96574.96644,3
27,201204.1,F,2012,22/02/2012 15:44,926607.9011,-96720.73965,3
27,201204.1,F,2012,22/02/2012 15:59,926729.9696,-96878.57559,3
27,201204.1,F,2012,22/02/2012 16:14,926797.7721,-97038.50159,3
27,201204.1,F,2012,22/02/2012 16:29,926873.4238,-97226.27989,3
27,201204.1,F,2012,22/02/2012 16:44,926994.1283,-97401.2805,3
27,201204.1,F,2012,22/02/2012 16:59,927114.8401,-97596.09289,3
27,201204.1,F,2012,22/02/2012 17:14,927312.9627,-97759.58702,3
27,201204.1,F,2012,22/02/2012 17:29,927541.4364,-97920.45353,3
27,201204.1,F,2012,22/02/2012 17:44,927760.6947,-98069.31126,3
27,201204.1,F,2012,22/02/2012 17:59,927971.9565,-98252.1239,3
27,201204.1,F,2012,22/02/2012 18:14,928134.4026,-98424.90045,3
27,201204.1,F,2012,22/02/2012 18:29,928304.1793,-98585.20708,3
27,201204.1,F,2012,22/02/2012 18:44,928473.3028,-98735.72836,3
27,201204.1,F,2012,22/02/2012 18:59,928663.524,-98880.7289,3
27,201204.1,F,2012,22/02/2012 19:14,928953.4949,-98977.43117,3
27,201204.1,F,2012,22/02/2012 19:29,929109.5424,-99166.67512,2
27,201204.1,F,2012,22/02/2012 19:44,929542.4485,-98949.89071,2
27,201204.1,F,2012,22/02/2012 19:59,930064.2582,-98564.58304,2
27,201204.1,F,2012,22/02/2012 20:14,930185.7314,-98557.40751,2
27,201204.1,F,2012,22/02/2012 20:29,930409.0536,-98761.25259,2
27,201204.1,F,2012,22/02/2012 20:44,930629.1114,-99032.44766,2
27,201204.1,F,2012,22/02/2012 20:59,930843.28,-99321.9878,2
27,201204.1,F,2012,22/02/2012 21:14,931088.043,-99615.06346,2
27,201204.1,F,2012,22/02/2012 21:29,931317.1456,-99905.57293,2
27,201204.1,F,2012,22/02/2012 21:44,931575.3146,-100193.258,2
27,201204.1,F,2012,22/02/2012 21:59,931888.7634,-100471.4746,2
27,201204.1,F,2012,22/02/2012 22:14,932233.0422,-100772.8462,2
27,201204.1,F,2012,22/02/2012 22:29,932593.6311,-101051.3888,2
27,201204.1,F,2012,22/02/2012 22:44,932970.2048,-101309.3857,2
27,201204.1,F,2012,22/02/2012 22:59,933400.8852,-101534.1555,2
27,201204.1,F,2012,22/02/2012 23:14,933909.9132,-101751.4767,2
27,201204.1,F,2012,22/02/2012 23:29,934368.7691,-101949.5302,2
27,201204.1,F,2012,22/02/2012 23:44,934855.1495,-102151.2483,2
27,201204.1,F,2012,22/02/2012 23:59,935368.1869,-102317.3237,1
27,201204.1,F,2012,23/02/2012 00:14,948468.7357,-100363.1954,2
27,201204.1,F,2012,23/02/2012 00:29,963272.7256,-100492.2839,2
27,201204.1,F,2012,23/02/2012 00:44,973484.9336,-107731.1684,2
27,201204.1,F,2012,23/02/2012 00:59,986238.7403,-113611.3332,2
27,201204.1,F,2012,23/02/2012 01:14,990070.9433,-125031.7367,2
27,201204.1,F,2012,23/02/2012 01:29,994821.9574,-133500.7491,1
27,201204.1,F,2012,23/02/2012 01:44,1008213.036,-139170.8643,1
27,201204.1,F,2012,23/02/2012 01:59,1021991.354,-143196.6419,1
27,201204.1,F,2012,23/02/2012 02:14,1036869.712,-146981.9987,1
27,201204.1,F,2012,23/02/2012 02:29,1051946.774,-148487.7331,1
27,201204.1,F,2012,23/02/2012 02:44,1066103.815,-147925.7697,1
27,201204.1,F,2012,23/02/2012 02:59,1080425.804,-148166.2189,1
27,201204.1,F,2012,23/02/2012 03:14,1095901.426,-147600.723,1
27,201204.1,F,2012,23/02/2012 03:29,1110558.631,-144894.4223,1
27,201204.1,F,2012,23/02/2012 03:44,1124601.626,-142106.0409,1
27,201204.1,F,2012,23/02/2012 03:59,1138224.118,-139385.6917,1
27,201204.1,F,2012,23/02/2012 04:14,1151165.107,-135821.9508,1
27,201204.1,F,2012,23/02/2012 04:29,1163482.28,-131800.1729,1
27,201204.1,F,2012,23/02/2012 04:44,1175735.063,-127998.5913,1
27,201204.1,F,2012,23/02/2012 04:59,1187289.107,-123681.3219,1
27,201204.1,F,2012,23/02/2012 05:14,1198819.257,-119251.8213,1
27,201204.1,F,2012,23/02/2012 05:29,1212433.346,-115921.8937,2
27,201204.1,F,2012,23/02/2012 05:44,1224985.136,-117804.776,2
27,201204.1,F,2012,23/02/2012 05:59,1231980.188,-126820.4328,2
27,201204.1,F,2012,23/02/2012 06:14,1232221.127,-137398.5096,2
27,201204.1,F,2012,23/02/2012 06:29,1235899.085,-146582.9676,2
27,201204.1,F,2012,23/02/2012 06:44,1243954.455,-156344.0038,2
27,201204.1,F,2012,23/02/2012 06:59,1247196.69,-166881.0533,2
27,201204.1,F,2012,23/02/2012 07:14,1248684.694,-176790.1609,2
27,201204.1,F,2012,23/02/2012 07:29,1254238.895,-185719.5334,2
27,201204.1,F,2012,23/02/2012 07:44,1247824.088,-194443.7042,2
27,201204.1,F,2012,23/02/2012 07:59,1240419.023,-201819.3728,2
27,201204.1,F,2012,23/02/2012 08:14,1236639.221,-204997.4196,2
27,201204.1,F,2012,23/02/2012 08:29,1237994.977,-204751.0932,1
27,201204.1,F,2012,23/02/2012 08:44,1249111.13,-204576.9422,1
27,201204.1,F,2012,23/02/2012 08:59,1263323.085,-201202.8005,1
27,201204.1,F,2012,23/02/2012 09:14,1273881.726,-196408.7327,2
27,201204.1,F,2012,23/02/2012 09:29,1272838.246,-189877.5449,2
27,201204.1,F,2012,23/02/2012 09:44,1283490.811,-186116.6093,2
27,201204.1,F,2012,23/02/2012 09:59,1296696.359,-187663.3903,2
27,201204.1,F,2012,23/02/2012 10:14,1308224.96,-195815.9661,2
27,201204.1,F,2012,23/02/2012 10:29,1313677.062,-205580.7444,2
27,201204.1,F,2012,23/02/2012 10:44,1314023.8,-213383.4004,2
27,201204.1,F,2012,23/02/2012 10:59,1315395.703,-222216.341,2
27,201204.1,F,2012,23/02/2012 11:14,1321216.483,-232679.3405,2
27,201204.1,F,2012,23/02/2012 11:29,1328506.12,-239787.5179,2
27,201204.1,F,2012,23/02/2012 11:44,1341702.858,-240820.5319,2
27,201204.1,F,2012,23/02/2012 11:59,1355116.913,-243633.714,1
27,201204.1,F,2012,23/02/2012 12:14,1370038.941,-242283.201,1
27,201204.1,F,2012,23/02/2012 12:29,1383809.135,-241184.7849,1
27,201204.1,F,2012,23/02/2012 12:44,1395899.675,-241765.9089,2
27,201204.1,F,2012,23/02/2012 12:59,1402069.214,-240392.0978,2
27,201204.1,F,2012,23/02/2012 13:14,1411034.255,-248113.2144,2
27,201204.1,F,2012,23/02/2012 13:29,1414626.164,-257382.9844,1
27,201204.1,F,2012,23/02/2012 13:44,1427274.153,-258183.763,1
27,201204.1,F,2012,23/02/2012 13:59,1437952.865,-260950.4108,2
27,201204.1,F,2012,23/02/2012 14:14,1445797.799,-263857.4437,2
27,201204.1,F,2012,23/02/2012 14:29,1449766.862,-266692.9789,2
27,201204.1,F,2012,23/02/2012 14:44,1450923.417,-267518.0659,3
27,201204.1,F,2012,23/02/2012 14:59,1450832.746,-267414.8697,3
27,201204.1,F,2012,23/02/2012 15:14,1450684.076,-267367.4442,3
27,201204.1,F,2012,23/02/2012 15:29,1450500.381,-267415.634,3
27,201204.1,F,2012,23/02/2012 15:44,1450322.911,-267472.9813,3
27,201204.1,F,2012,23/02/2012 15:59,1450176.218,-267524.7416,3
27,201204.1,F,2012,23/02/2012 16:14,1450042.015,-267594.8269,3
27,201204.1,F,2012,23/02/2012 16:29,1449920.744,-267688.8979,3
27,201204.1,F,2012,23/02/2012 16:44,1449798.665,-267811.7603,3
27,201204.1,F,2012,23/02/2012 16:59,1449699.849,-267929.4967,3
27,201204.1,F,2012,23/02/2012 17:14,1449636.136,-268048.2368,3
27,201204.1,F,2012,23/02/2012 17:29,1449642.33,-268199.4059,3
27,201204.1,F,2012,23/02/2012 17:44,1449691.957,-268398.7642,3
27,201204.1,F,2012,23/02/2012 17:59,1449725.706,-268628.6112,3
27,201204.1,F,2012,23/02/2012 18:14,1449765.973,-268853.2423,3
27,201204.1,F,2012,23/02/2012 18:29,1449810.848,-269074.7301,3
