"Ring","Year","Sex","Age","ReproSuccess","boldness"
"181",2018,"M",38,1,-0.511947
"182",2015,"F",34,1,-0.4860375
"182",2017,"F",36,0,-0.4860375
"183",2013,"M",34,1,0.6120681
"184",2013,"F",30,1,-0.095604
"186",2016,"F",10,1,-0.4382452
"187",2013,"F",35,1,0.3395959
"187",2018,"F",40,1,0.3395959
"188",2016,"F",27,1,1.313262
"188",2018,"F",29,1,1.313262
"189",2017,"F",31,1,-0.4380103
"190",2012,"F",41,1,-0.7696326
"190",2014,"F",43,1,-0.3192145
"191",2017,"F",37,1,0.0522745
"192",2017,"F",30,1,0.9423203
"193",2013,"F",35,1,-0.228461
"194",2011,"F",30,1,-1.983177
"195",2018,"M",38,1,0.1087949
"196",2014,"M",33,1,-0.9103647
"197",2013,"F",28,1,0.1691489
"197",2017,"F",32,1,0.1691489
"198",2012,"F",8,1,0.7542982
"199",2013,"M",9,1,1.959374
"200",2013,"F",9,1,0.694299
"201",2013,"M",9,0,0.02856994
"202",2016,"F",12,1,-0.5751036
"202",2018,"F",14,1,-0.5751036
"203",2013,"F",9,1,-0.7441185
"204",2013,"M",9,1,0.2009981
"204",2017,"M",13,1,0.08953806
"205",2013,"F",9,1,2.155716
"206",2016,"F",12,0,-0.7111917
"206",2019,"F",15,1,-0.7111917
"207",2016,"F",12,1,-0.08777745
"208",2013,"M",24,1,-0.9538217
"209",2013,"M",32,1,0.5572178
"210",2013,"F",22,1,0.08555101
"211",2017,"M",31,0,0.2978629
"212",2016,"M",28,1,-1.525866
"213",2019,"F",13,1,-0.2768913
"214",2019,"F",34,1,0.368347
"215",2013,"F",23,1,-0.4899317
"216",2016,"M",34,1,-0.5470232
"217",2019,"M",20,1,-0.3860243
"218",2018,"F",40,1,-0.3362467
"219",2010,"F",26,1,-0.6549474
"220",2013,"M",30,1,-0.1385611
"221",2016,"M",11,0,-0.7986826
"222",2016,"M",11,1,-0.170001
"223",2015,"F",10,1,0.8435699
"223",2018,"F",13,1,0.8435699
"224",2019,"M",14,1,0.6610758
"225",2013,"F",8,0,-0.4119123
"226",2018,"M",13,1,-0.4665503
"228",2019,"M",14,1,-0.2032686
"229",2013,"F",8,1,0.1853125
"229",2019,"F",14,1,0.1853125
"230",2016,"F",11,1,-0.2109946
"231",2013,"M",8,0,1.196278
"232",2013,"F",8,1,0.4004376
"233",2019,"F",14,1,-0.09610179
"234",2018,"F",13,1,-0.4830979
"235",2016,"M",10,1,-0.1531153
"236",2016,"F",10,0,0.1596545
"236",2017,"F",11,1,0.1596545
"237",2017,"F",11,1,-0.4901513
"238",2013,"M",35,0,0.2183364
"238",2018,"M",40,1,0.2183364
"239",2018,"M",18,1,-1.068042
"240",2011,"M",26,1,0.4682303
"240",2013,"M",28,1,0.4682303
"240",2015,"M",30,1,1.451344
"241",2016,"F",33,1,0.2651118
"241",2018,"F",35,1,0.2651118
"242",2017,"M",34,1,0.3296191
"243",2011,"F",43,0,-0.2650388
"244",2013,"M",25,1,-0.5976724
"245",2012,"F",30,1,-0.088108
"245",2017,"F",35,1,-0.088108
"246",2011,"F",22,1,1.870689
"246",2013,"F",24,1,0.7477945
"246",2017,"F",28,1,0.7477945
"247",2017,"M",35,1,0.6489414
"249",2017,"M",10,1,-0.1980161
"250",2014,"F",7,1,0.4084402
"251",2016,"F",8,1,0.5982233
"252",2012,"F",26,0,0.8982988
"252",2018,"F",32,1,0.8982988
"253",2017,"M",32,1,0.9734857
"255",2016,"F",8,0,0.1066349
"256",2019,"F",11,1,-0.1507645
"257",2018,"F",10,1,0.4876266
"259",2020,"F",12,1,-0.7171772
"260",2019,"F",11,1,-0.5295129
"261",2011,"F",30,1,0.5205541
"262",2013,"F",24,0,0.9370595
"262",2014,"F",25,1,0.9370595
"262",2018,"F",29,1,0.9370595
"263",2016,"F",14,1,0.1411074
"264",2011,"F",36,0,-0.2892678
"264",2014,"F",39,1,-0.2892678
"264",2016,"F",41,1,-0.2892678
"265",2018,"F",9,1,0.2785631
"266",2017,"M",24,1,-1.050991
"269",2016,"M",9,1,-0.06550756
"269",2018,"M",11,1,-0.06550756
"270",2016,"F",9,1,0.2486954
"271",2016,"M",28,1,-0.437714
"272",2016,"F",9,1,-0.1683063
"273",2015,"F",44,1,1.036794
"274",2011,"M",40,0,0.906489
"274",2013,"M",42,0,0.906489
"275",2013,"M",35,1,-0.5766503
"275",2018,"M",40,1,-0.5766503
"276",2013,"M",35,1,-0.6423459
"277",2016,"M",38,0,0.2091331
"278",2011,"M",44,1,0.5422367
"279",2011,"F",36,1,0.9545614
"279",2013,"F",38,0,0.9545614
"279",2014,"F",39,1,0.9545614
"280",2013,"M",44,1,-0.3202622
"281",2011,"F",42,1,-0.5136268
"282",2011,"F",35,1,-0.7362093
"283",2015,"M",35,0,-0.2350203
"284",2013,"M",32,1,0.5742051
"285",2013,"M",32,1,0.1016925
"285",2017,"M",36,1,0.1016925
"286",2011,"M",28,0,-1.078373
"286",2015,"M",32,1,-1.078373
"286",2017,"M",34,1,-1.078373
"287",2017,"M",34,1,-0.1834215
"288",2012,"M",28,1,-0.03043312
"289",2013,"M",36,1,-0.4828166
"290",2011,"M",34,1,-0.1505749
"290",2013,"M",36,1,-0.1505749
"291",2011,"M",34,0,-0.2340464
"292",2017,"M",28,0,-0.3788348
"293",2019,"M",30,1,0.5863155
"294",2013,"F",29,0,-0.7547891
